FID,OBJECTID,PERIMETER,CO_NAME,CO_ABBR,ACRES,Shape_Leng,RO,SHAPE_Length,SHAPE_Area
62,62,157151.15625,CLEVELAND,CLEV,299697.625,515586.753577,MRO,192953.452930817,13054821218.4
63,63,196354.328125,JACKSON,JACK,316710.53125,644205.828107,ARO,240826.089838873,13795902926.8
64,64,179126.390625,HARNETT,HARN,384759.03125,587683.883751,FRO,219816.904241786,16760093161.9
65,65,144226.09375,GRAHAM,GRAH,192911.859375,473181.756187,ARO,177006.351819967,8403235385.1
66,66,179688.703125,HENDERSON,HEND,240054.984375,589528.666992,ARO,220579.427749591,10456788029.6
67,67,225127.625,MOORE,MOOR,451347.3125,738606.285338,FRO,276136.044372153,19660675261.7
68,68,180910.703125,MONTGOMERY,MONT,320860.09375,593537.86332,FRO,221949.899263892,13976656836.2
69,69,166794.796875,STANLY,STAN,258886.5625,547225.909819,MRO,204665.350589295,11277091742.6
70,70,164070.5625,TRANSYLVANIA,TRAN,243392.546875,538288.198094,ARO,201019.797892303,10602172583.9
71,71,115044.96875,POLK,POLK,152720.03125,377443.378409,ARO,141061.072794718,6652480300.79
72,72,167432.375,LENOIR,LENO,257265.828125,549317.74939,WARO,205339.93290532,11206492142.2
73,73,280975.5625,CRAVEN,CRAV,493361.53125,921834.001043,WARO,343754.655865129,21490814935.6
74,74,198550.5625,MACON,MACO,332573.15625,651411.315584,ARO,243019.005770291,14486877792.6
75,75,186551.625,CHEROKEE,CHER,298867.15625,612044.822389,ARO,228380.665568521,13018645188.3
76,76,180575.625,PAMLICO,PAML,359453.1875,592438.54375,WARO,221036.016063453,15657771571
77,77,276210.75,SAMPSON,SAMP,605866.6875,906201.458017,FRO,337527.687491431,26391537290.3
78,78,210419.75,CUMBERLAND,CUMB,421202.0625,690352.113095,FRO,257253.797721045,18347550086.6
79,79,135734.390625,CLAY,CLAY,141328.875,445321.949299,ARO,165877.732630762,6156281627.83
80,80,213300.140625,JONES,JONE,303755.78125,699802.184126,WARO,260639.479319842,13231592702.4
81,81,314409.03125,CARTERET,CART,665408.8125,1031523.57983,WIRO,383432.589990248,28985190684.8
82,82,177866.28125,UNION,UNIO,409365.1875,583549.613686,MRO,217416.765952583,17831934809.2
83,83,175357.609375,ANSON,ANSO,343568.0625,575319.072076,FRO,214402.929740997,14965815718.3
84,84,157539.84375,HOKE,HOKE,251090.390625,516861.987445,FRO,192624.133661617,10937490488
85,85,203348.859375,DUPLIN,DUPL,524331.1875,667153.684941,WIRO,248437.550981256,22839852372.6
